label,category,records,percentage,mean_chars,median_chars,min_chars,max_chars
0,Alimentación,170,8.3,4234.89,3018.5,1141,16513
1,Astronomía,171,8.35,2959.07,2621.0,504,13767
2,Economía,171,8.35,3432.48,3144.0,732,9577
3,Moda,171,8.35,3014.79,2569.0,526,11407
4,Medicina,171,8.35,8900.23,6622.0,1572,204324
5,Defensa,170,8.3,6246.81,5000.0,530,33490
6,Motor,171,8.35,3704.73,3295.0,889,11268
7,Entretenimiento,170,8.3,3107.23,2160.0,572,9344
8,Política,171,8.35,3691.5,3116.0,874,16118
9,Religión,171,8.35,4230.69,3511.0,536,20212
10,Deportes,170,8.3,3165.95,2656.5,716,15998
11,Tecnología,171,8.35,4180.06,3093.0,1346,26810
